"code_mode","high_educ","imd_band","finRes","logSum_click","disabil","Wscal_score"
"FFF","Lower","90-100%","Pass",8.52158353971753,"N",0.49
"DDD","A-Level","50-60%","Fail",2.63905732961526,"Y",0.617
"BBB","Lower","0-10%","Fail",5.17614973257383,"Y",-1.1
"DDD","A-Level","60-70%","Pass",6.69084227741856,"N",0.45
"DDD","A-Level","80-90%","Pass",6.81783057145415,"N",0.69
"DDD","HE Qual","30-40%","Pass",7.07326971745971,"N",-0.39
"DDD","HE Qual","20-30%","Pass",7.06304816338817,"N",0.02
"FFF","Lower","30-40%",NA,7.91971976092457,"N",0.97
"FFF","Lower","30-40%",NA,8.71637186527662,"N",0.76
"DDD","A-Level","80-90%","Fail",6.00635315960173,"Y",-0.94
"DDD","Lower","0-10%","Fail",5.85793315448346,"N",-1.5
"AAA","A-Level","70-80%","Pass",7.54697411751653,"N",0.05
"FFF","None","0-10%","Fail",4.52178857704904,"N",-1.47
"BBB","Lower","70-80%","Fail",4.23410650459726,"N",0.12
"GGG","Lower","20-30%","Pass",5.78074351579233,"N",0.75
"AAA","Lower","0-10%","Pass",8.50491816054062,"N",-0.297
"BBB","Lower","30-40%","Pass",7.01929665371504,"N",0.78
"BBB","Lower","50-60%","Pass",7.81156848934518,"N",0.52
"AAA",NA,"30-40%","Pass",8.05801080080209,"N",0.35
"FFF","A-Level","30-40%","Pass",8.158802490694,"N",0.19
"FFF","Lower","40-50%","Pass",7.9592759601164,"N",0.01
"FFF","None","0-10%","Fail",4.11087386417331,"N",-3.2
"CCC","A-Level","90-100%",NA,7.57967882309046,"N",0.93
"DDD","HE Qual","90-100%","Pass",7.26332961747684,"N",0.53
"FFF","HE Qual","30-40%","Fail",3.68887945411394,"Y",-3.093
"DDD","Lower","90-100%","Fail",6.36990098282823,"N",0.592999999999999
"FFF","A-Level","30-40%","Pass",7.97625194374562,"N",0.39
"EEE","A-Level","30-40%",NA,7.39326309476384,"N",0.22
"DDD","HE Qual","40-50%","Pass",6.55393340402581,"N",0.07
"FFF","Lower","20-30%","Fail",6.40522845803084,"N",0.17
"FFF","Lower","30-40%","Fail",6.21260609575152,"N",-1.12
"FFF","A-Level","30-40%","Fail",6.40522845803084,"N",-0.78
"BBB","A-Level","20-30%","Pass",5.64897423816121,"Y",0.09
"AAA","A-Level","60-70%","Pass",7.3004728142678,"N",0.03
"DDD","Lower","30-40%","Fail",2.63905732961526,"N",-3.25
"FFF","A-Level","30-40%","Fail",7.08673793451058,"N",0.18
"BBB","Lower","30-40%","Fail",6.361302477573,"N",-0.14
"BBB","Lower","20-30%","Fail",1.6094379124341,"N",-3.25
"FFF","Lower","50-60%",NA,8.60171814648593,"Y",0.753
"FFF","Lower","40-50%","Fail",6.74993119378857,"N",-0.14
"BBB","A-Level","60-70%","Pass",5.94017125272043,"N",0.28
"BBB","Lower","30-40%","Fail",6.65544035036765,"N",0.18
"DDD","Lower","60-70%","Pass",7.26262860097424,"N",0.39
"BBB","A-Level","0-10%","Pass",5.64897423816121,"N",-0.67
"CCC","A-Level","20-30%","Pass",6.99484998583307,"N",-0.01
"AAA","Lower","70-80%","Pass",7.18538701558042,"N",0.17
"DDD","A-Level","80-90%","Pass",8.01895468315572,"N",0.798
"FFF","A-Level","90-100%","Pass",7.58731050602262,"N",0.53
"AAA","HE Qual","90-100%","Pass",8.20220843643645,"N",0.26
"FFF","Lower","20-30%","Fail",3.63758615972639,"N",-3.25
"BBB","A-Level","40-50%","Fail",4.63472898822964,"N",0.775
"AAA","A-Level","70-80%","Pass",7.16703787691222,"N",0.14
"FFF","A-Level","30-40%",NA,7.81681996576455,"N",1.02
"DDD","A-Level","70-80%","Fail",6.72743172485086,"N",-1.35
"FFF","A-Level","50-60%","Pass",7.48717369421374,"Y",-0.13
"BBB","Lower","80-90%","Pass",5.95064255258773,"N",-0.6875
"DDD","A-Level","40-50%","Pass",5.18178355029209,"Y",-0.5295
"AAA","A-Level","20-30%","Pass",7.45760928971561,"N",0.13
"FFF","A-Level","40-50%",NA,8.5657928612523,"Y",0.8835
"AAA","Lower","60-70%","Pass",7.0057890192535,"N",0.38
"BBB","Lower","60-70%","Pass",7.26262860097424,"N",-0.19
"DDD","HE Qual","40-50%","Fail",6.25958146406492,"N",-0.81
"DDD","A-Level","0-10%","Pass",7.62948991639399,"N",-0.28
"BBB","HE Qual","40-50%",NA,6.75693238924755,"N",0.56
"DDD","A-Level","30-40%","Pass",7.91971976092457,"N",-0.57
"GGG","A-Level","30-40%","Pass",6.63987583382654,"N",0.18
"GGG","A-Level","30-40%",NA,6.74875954749168,"N",0.83
"BBB","Lower","60-70%","Pass",8.51398806046729,"N",0.58
"EEE","Lower","90-100%","Pass",8.50552538654856,"N",0.72
"BBB","HE Qual","60-70%","Pass",7.21964204013074,"N",0.54
"CCC","Lower","80-90%","Pass",8.44311598801992,"Y",-0.1
"DDD","Lower","50-60%","Fail",6.10702288774225,"N",0.4475
"EEE","Lower","50-60%","Pass",7.54433210805369,"N",0.41
"AAA","HE Qual","50-60%","Pass",8.12829017160705,"N",0.225
"CCC","A-Level","30-40%","Fail",6.94505106372583,"N",-0.37
"AAA","A-Level","30-40%","Pass",6.52795791762255,"N",0.06
"BBB","A-Level","20-30%","Fail",6.26530121273771,"N",0.46
"GGG","Lower","30-40%","Fail",5.61677109766657,"N",0.707
"DDD","Lower","70-80%","Fail",6.54391184556479,"N",0.22
"BBB","Lower","20-30%","Fail",5.44673737166631,"N",-0.29
"EEE","Lower","80-90%","Pass",8.16621626859214,"N",0.02
"AAA","A-Level","80-90%","Pass",6.81673588059497,"N",-0.86
"FFF","HE Qual","90-100%","Pass",7.09920174355309,"N",-0.0995
"CCC","Lower","30-40%","Pass",8.11522197256233,"N",0.39
"AAA","Lower","40-50%","Pass",7.91498300584839,"N",0.06
"BBB","A-Level","50-60%","Pass",6.5694814204143,"N",-0.35
"DDD","HE Qual","70-80%","Fail",7.11720550316434,"N",-0.39
"BBB","Lower","80-90%",NA,6.64898455002478,"Y",0.633
"DDD","A-Level","60-70%","Pass",6.87316383421252,"N",-0.773
"GGG","Lower","30-40%","Pass",6.07073772800249,"N",0.73
"FFF","Lower","30-40%","Fail",4.70953020131233,"N",-3.25
"BBB","Lower","0-10%","Pass",5.29831736654804,"Y",0.22
"CCC","HE Qual","20-30%","Fail",7.12286665859908,"N",0.545
"FFF","Lower","60-70%","Fail",8.43315919580623,"N",-0.29
"FFF","A-Level","0-10%",NA,8.63781663373998,"N",0.81
"DDD","Lower","30-40%","Pass",8.1101268019411,"N",-1.0035
"GGG","Lower","30-40%","Pass",6.71901315438526,"N",0.06
"AAA","A-Level","70-80%","Fail",5.17614973257383,"N",-0.15
"FFF","A-Level","0-10%","Pass",7.48268182815465,"N",0.26
"CCC","A-Level","30-40%","Fail",7.67322312112171,"N",0.08
"FFF","A-Level","50-60%","Pass",7.05789793741186,"N",0.39
"DDD","HE Qual","30-40%","Fail",4.969813299576,"N",0.58
"DDD","Lower","40-50%","Fail",6.52502965784346,"N",-0.11
"EEE","A-Level","90-100%","Pass",7.5234813125735,"N",0.28
"GGG","A-Level","80-90%","Pass",5.87211778947542,"N",0.31
"DDD","Lower","20-30%","Pass",7.01571242048723,"N",-0.15
"DDD","A-Level","30-40%","Fail",7.12849594568004,"N",-0.28
"EEE","Lower","30-40%","Pass",7.27170370688737,"N",-0.2
"DDD","Lower","30-40%","Pass",6.68210859744981,"N",-1.0035
"EEE","A-Level","30-40%","Pass",7.74716496652033,"N",0.48
"DDD","A-Level","20-30%",NA,7.47986413116503,"N",0.2785
"DDD","Lower","20-30%","Pass",7.20934025660291,"Y",0.06
"FFF","A-Level","50-60%","Pass",8.35608503102148,"Y",0.78
"FFF","HE Qual","70-80%","Fail",8.91838250466161,"N",-0.64
"DDD","HE Qual","90-100%","Pass",6.99025650049388,"N",-0.02
"DDD","Lower","70-80%","Pass",7.14755927118945,"N",0.28
"BBB","HE Qual","70-80%","Fail",4.59511985013459,"N",-0.61
"DDD","Lower","80-90%","Fail",5.37527840768417,"N",-3.25
"DDD","Lower","80-90%","Pass",5.92425579741453,"N",-0.2
"CCC","Lower","20-30%","Pass",6.54534966033442,"N",0.19
"AAA","HE Qual","40-50%","Pass",8.76358440945014,"N",0.45
"EEE","Lower","70-80%","Pass",8.16337131645991,"N",-0.53
"CCC","HE Qual","30-40%","Pass",6.62804137617953,"N",0.23
"AAA","A-Level","60-70%","Pass",6.96034772910131,"N",-0.67
"CCC","Lower","50-60%","Pass",8.88917045536341,"N",0.79
"EEE","Lower","30-40%","Pass",7.79770203551669,"N",0.47
"BBB","Lower","0-10%","Pass",6.85435450225502,"N",-0.66
"BBB","HE Qual","70-80%",NA,5.6021188208797,"N",0.63
"FFF","Lower","30-40%","Pass",8.56350409427949,"N",-0.25
"DDD","Lower","50-60%","Pass",6.18208490671663,"N",-0.64
"FFF","Lower","0-10%","Pass",7.08590146436561,"Y",0.36
"FFF","Lower","50-60%","Fail",0,"N",-3.25
"AAA","HE Qual","30-40%","Pass",7.75276480885133,"N",0.46
"BBB","A-Level","50-60%","Fail",4.11087386417331,"N",-3.25
"BBB","A-Level","20-30%","Pass",6.95654544315157,"N",0.61
"FFF","A-Level","90-100%","Pass",7.36073990305828,"N",0.21
"DDD","Lower","80-90%","Pass",6.98286275146894,"N",-0.47
"CCC","A-Level","30-40%","Fail",6.60394382460047,"N",-0.62
"FFF","A-Level","40-50%","Pass",8.36660283278374,"Y",0.47
"BBB","A-Level","60-70%",NA,6.04263283368238,"Y",0.66
"CCC","Lower","50-60%","Fail",8.76076662424196,"N",-0.88
"FFF","Lower","40-50%","Pass",7.72753511047545,"Y",0.35
"FFF","Lower","30-40%","Pass",7.26122509197192,"N",0.42
"DDD","HE Qual","50-60%","Fail",6.29341927884648,"N",-1.15
"BBB","HE Qual","80-90%","Pass",7.5207764150628,"N",0.34
"DDD","A-Level","40-50%","Fail",4.95582705760126,"N",-2.06
"FFF","A-Level","0-10%","Fail",6.36990098282823,"N",-0.39
"FFF","A-Level","30-40%","Pass",7.54855597916987,"N",0.78
"AAA","A-Level","30-40%","Fail",4.76217393479776,"N",-0.99
"DDD","Lower","60-70%","Pass",8.19726337141434,"N",-0.33
"FFF","HE Qual","0-10%","Pass",7.16857989726403,"N",0.32
"FFF","Lower","70-80%","Fail",4.57471097850338,"Y",0.71
"BBB","A-Level","60-70%",NA,8.96341629199657,"N",0.84
"BBB","Lower","40-50%",NA,8.21066803116298,"N",0.98
"BBB","Lower","0-10%","Pass",5.34233425196481,"N",0.58
"AAA","A-Level","30-40%","Pass",8.0040315078527,"N",-0.2
"FFF","Lower","30-40%",NA,8.68524677641249,"N",0.99
"AAA","A-Level","40-50%","Pass",6.85751406254539,"N",0.5175
"BBB","Lower","60-70%","Pass",6.19440539110467,"N",0.12
"DDD","Lower","20-30%","Fail",6.97914527506881,"N",-0.18
"GGG","Lower","30-40%","Fail",0,"N",-3.25
"CCC","A-Level","80-90%","Pass",8.4042484324001,"N",0.06
"CCC","HE Qual","30-40%","Fail",7.53315880745556,"N",-0.08
"DDD","Lower","60-70%","Pass",7.45529848568329,"Y",-0.05
"DDD","Lower","60-70%","Fail",2.94443897916644,"N",-0.19
"EEE","HE Qual","30-40%","Pass",7.70975686445416,"N",-0.44
"CCC","HE Qual","50-60%","Pass",7.30182234213793,"N",0.52
"AAA","A-Level","30-40%","Pass",6.52356230614951,"N",0
"FFF","HE Qual","50-60%","Pass",7.85127199710988,"N",0.8
"FFF","A-Level","40-50%","Pass",7.72929567431048,"N",0.58
"FFF","A-Level","30-40%","Fail",4.70953020131233,"N",0.17
"DDD","HE Qual","20-30%","Pass",7.2115567333138,"N",0.87
"FFF","A-Level","30-40%","Fail",6.15909538849193,"N",-0.09
"FFF","A-Level","30-40%","Pass",6.8001700683022,"N",0.14
"FFF","Lower","30-40%","Pass",7.17472430983638,"N",0.24
"DDD","Lower","30-40%","Fail",7.8898337513943,"N",-0.05
"BBB","Lower","0-10%","Fail",5.77455154554441,"N",0.38
"BBB","Lower","40-50%","Fail",6.05678401322862,"N",0.13
"FFF","A-Level","90-100%","Pass",7.63723438878947,"N",0.67
"BBB","Lower","20-30%","Fail",0,"Y",-1.97
"CCC","A-Level","70-80%","Fail",6.69826805411541,"N",-1.67
"FFF","A-Level","60-70%","Pass",7.81722278550817,"N",0.26
"BBB","Lower","30-40%","Fail",0,"N",-3.25
"DDD","Lower","80-90%","Pass",8.43576619272051,"N",0.25
"EEE","Lower","60-70%","Pass",7.31521838975297,"N",-0.36
"FFF","A-Level","90-100%","Pass",8.53385363230935,"N",0.75
"BBB","Lower","60-70%",NA,8.21608809863232,"N",1.03
"FFF","A-Level","40-50%","Pass",6.92362862813843,"Y",0.47
"DDD","A-Level","50-60%","Pass",6.54965074223381,"N",0.58
"CCC","Lower","80-90%","Pass",10.2617212809389,"N",0.22
"DDD","HE Qual","90-100%","Fail",6.70686233660275,"Y",-0.16
"FFF","Lower","80-90%","Fail",6.16331480403464,"N",-0.11
"DDD","HE Qual","70-80%","Fail",7.00397413672268,"N",0.45
"FFF","Lower","50-60%","Fail",6.38350663488401,"N",-0.24
"GGG","Lower","90-100%",NA,6.23244801655052,"Y",0.37
"BBB","Lower","20-30%","Pass",5.8664680569333,"N",-0.09
"FFF","Lower","70-80%","Fail",7.33888813383888,"N",0.36
"CCC","HE Qual","80-90%",NA,6.49072353450251,"N",1.06
"BBB","Lower","50-60%","Pass",6.77992190747225,"N",0.21
"FFF","HE Qual","20-30%","Pass",7.22329567956231,"N",0.43
"CCC","A-Level","0-10%","Pass",8.13035354743124,"N",0.12
"BBB","HE Qual","30-40%","Pass",6.86171134048073,"N",0.12
"DDD","Lower","30-40%","Fail",5.97635090929793,"N",-0.39
"DDD","HE Qual","50-60%","Fail",0,"N",0.02
"FFF","A-Level","60-70%","Pass",7.98480338973441,"N",0.35
"FFF","A-Level","60-70%","Fail",5.35185813347607,"N",0.35
"BBB","A-Level","50-60%",NA,6.48920493132532,"N",0.76
"FFF","A-Level","20-30%","Pass",7.59438124255182,"N",0.23
"BBB","A-Level","30-40%","Fail",5.19295685089021,"N",-1.65
"DDD","HE Qual","30-40%",NA,7.66246781520024,"N",0.495
"FFF","A-Level","60-70%",NA,8.94884572927805,"N",0.92
"DDD","A-Level","30-40%","Pass",7.08590146436561,"N",0.68
"BBB","A-Level","60-70%","Pass",6.20657592672493,"N",0.86
"BBB","A-Level","80-90%","Pass",6.16331480403464,"N",0.88
"AAA","Lower","30-40%","Pass",6.50128967054039,"N",-0.56
"AAA","A-Level","50-60%","Pass",6.48768401848461,"N",0.33
"DDD","HE Qual","30-40%","Fail",0,"N",-3.25
"AAA","Lower","80-90%","Pass",7.73236922228439,"N",0.04
"DDD","HE Qual","20-30%","Pass",6.97166860472579,"N",-0.61
"BBB","HE Qual","50-60%","Fail",5.28826703069454,"N",-0.03
"FFF","A-Level","40-50%","Pass",7.7341213033283,"N",0.63
"DDD","HE Qual","70-80%","Pass",6.75925527066369,"N",-0.09
"FFF","Lower","20-30%","Pass",7.72046169459972,"Y",0.56
"FFF","Lower","30-40%",NA,9.0455836463617,"N",1.07
"FFF","Lower","50-60%","Pass",7.49108759353488,"Y",0.29
"BBB","A-Level","30-40%","Pass",6.92657703322272,"N",0.38
"GGG","A-Level","50-60%","Pass",6.34388043412633,"N",0.67
"DDD","HE Qual","30-40%","Pass",6.69703424766648,"N",0.72
"DDD",NA,"90-100%",NA,6.86066367144829,"N",0.99
"EEE","HE Qual","70-80%","Pass",8.18395571730495,"N",0.88
"FFF","A-Level","60-70%","Fail",6.7900972355139,"N",-0.69
"DDD","Lower","30-40%","Pass",6.3578422665081,"N",-0.82
"DDD","A-Level","30-40%","Pass",7.05961762829138,"Y",0.51
"BBB","Lower","50-60%","Pass",5.21493575760899,"N",-0.35
"DDD","A-Level","50-60%","Pass",7.47363710849621,"Y",-0.29
"EEE","HE Qual","90-100%","Pass",6.39024066706535,"N",0.62
"DDD","A-Level","40-50%","Fail",6.00881318544259,"N",-0.64
"BBB","A-Level","70-80%",NA,4.95582705760126,"N",1
"BBB","HE Qual","90-100%",NA,7.11314210870709,"N",-0.18
"FFF","Lower","40-50%","Pass",8.63319686717254,"N",0.42
"DDD","Lower","30-40%","Pass",6.41345895716736,"N",0.48
"BBB","HE Qual","70-80%","Pass",6.98933526597456,"N",-0.28
"BBB","HE Qual","20-30%","Pass",5.21493575760899,"N",0.29
"DDD","A-Level","90-100%","Pass",6.69826805411541,"Y",-0.19
"DDD","A-Level","50-60%","Fail",5.32787616878958,"Y",-3.25
"FFF","HE Qual","20-30%",NA,7.74759683869289,"N",0.86
"DDD","HE Qual","80-90%","Fail",5.12989871492307,"N",-0.85
"FFF","HE Qual","0-10%","Fail",3.09104245335832,"Y",-3.142
"AAA","HE Qual","0-10%","Pass",7.30988148582479,"N",0.02
"BBB","A-Level","40-50%","Pass",7.38832785957711,"N",0.54
"DDD","A-Level","50-60%","Pass",7.32778053842163,"N",-0.18
"FFF","A-Level","20-30%","Fail",7.41336733569524,"Y",0.29
"DDD","Lower","50-60%","Fail",3.68887945411394,"N",-3.25
"BBB","Lower","40-50%","Fail",6.86484777797086,"N",0.48
"DDD","A-Level","40-50%","Fail",5.4380793089232,"N",-0.89
"DDD","Lower","0-10%","Fail",9.30401284783882,"Y",-1.45
"BBB","A-Level","20-30%","Pass",6.97354301952014,"N",0.26
"BBB","HE Qual","30-40%",NA,7.2086003379602,"N",0.51
"BBB","Lower","30-40%","Pass",6.88243747099785,"N",0.29
"CCC","Lower","20-30%","Pass",7.73017479524622,"Y",0.667
"BBB","Lower","80-90%","Fail",5.29831736654804,"N",0.32
"FFF","Lower","90-100%","Fail",7.5207764150628,"N",-0.29
"DDD","Lower","30-40%","Fail",6.09807428216624,"N",-0.43
"AAA","Lower","70-80%","Pass",7.12367278520461,"N",-0.23
"DDD","Lower","40-50%","Fail",5.29831736654804,"N",-1.4
"FFF","A-Level","80-90%","Pass",6.84268328223842,"N",0.58
"CCC","A-Level","50-60%","Pass",7.45124168498768,"N",1.036
"GGG","A-Level","30-40%","Pass",6.29156913955832,"N",0.27
"GGG","Lower","90-100%","Pass",6.38012253689976,"N",0.57
"BBB","Lower","60-70%","Pass",5.33753807970132,"N",0.66
"CCC","Lower","0-10%","Fail",5.20948615284142,"N",-1.56
"DDD","HE Qual","20-30%","Pass",6.65544035036765,"N",0.51
"FFF","A-Level","40-50%","Pass",7.90396563403217,"N",0.7
"EEE","A-Level","70-80%","Fail",5.99893656194668,"N",0.99
"DDD","Lower","60-70%","Fail",5.64897423816121,"N",0.27
"BBB","A-Level","60-70%","Pass",5.24702407216049,"N",0.862
"BBB","A-Level","20-30%","Pass",6.89264164117209,"N",0.8075
