"code_mode","high_educ","imd_band","age_band","prev_attempts","finRes","logSum_click","logStudy_credits","LMS_group","reduceReg","disabil","Wscal_score"
"DDD","HE Qual","30-40%","0-35",0,"Pass",7.07326971745971,4.11087386417331,"High","Other","N",-0.39
"DDD","HE Qual","20-30%","0-35",0,"Pass",7.06304816338817,4.11087386417331,"High","London Region","N",0.02
"FFF","Lower","30-40%","0-35",0,NA,7.91971976092457,4.79579054559674,"High","West Midlands Region","N",0.97
"FFF","Lower","30-40%","0-35",0,NA,8.71637186527662,4.51085950651685,"High","London Region","N",0.76
"DDD","A-Level","80-90%","0-35",0,"Fail",6.00635315960173,4.11087386417331,"Medium","Other","Y",-0.94
"DDD","Lower","0-10%","0-35",2,"Fail",5.85793315448346,4.79579054559674,"Medium","Wales","N",-1.5
"AAA","A-Level","70-80%","0-35",0,"Pass",7.54697411751653,4.51085950651685,"High","Other","N",0.05
"FFF","None","0-10%","0-35",0,"Fail",4.52178857704904,4.51085950651685,"Medium","London Region","N",-1.47
"BBB","Lower","70-80%","0-35",1,"Fail",4.23410650459726,4.11087386417331,"Medium","Other","N",0.12
"GGG","Lower","20-30%","0-35",0,"Pass",5.78074351579233,3.43398720448515,"Medium","Other","N",0.75
"AAA","Lower","0-10%","0-35",0,"Pass",8.50491816054062,4.79579054559674,"High","Yorkshire Region","N",-0.297
"BBB","Lower","30-40%","0-35",1,"Pass",7.01929665371504,4.11087386417331,"High","South West Region","N",0.78
"BBB","Lower","50-60%","0-35",1,"Pass",7.81156848934518,4.51085950651685,"High","Other","N",0.52
"AAA",NA,"30-40%","55<=",0,"Pass",8.05801080080209,4.11087386417331,"High","North Region","N",0.35
"FFF","A-Level","30-40%","0-35",1,"Pass",8.158802490694,4.79579054559674,"High","London Region","N",0.19
"FFF","Lower","40-50%","0-35",0,"Pass",7.9592759601164,4.11087386417331,"High","North Region","N",0.01
"FFF","None","0-10%","0-35",0,"Fail",4.11087386417331,4.11087386417331,"Medium","North Western Region","N",-3.2
"CCC","A-Level","90-100%","0-35",0,NA,7.57967882309046,5.6021188208797,"High","West Midlands Region","N",0.93
"DDD","HE Qual","90-100%","0-35",0,"Pass",7.26332961747684,4.11087386417331,"High","Other","N",0.53
"FFF","HE Qual","30-40%","0-35",0,"Fail",3.68887945411394,4.11087386417331,"Medium","Other","Y",-3.093
"DDD","Lower","90-100%","0-35",2,"Fail",6.36990098282823,4.11087386417331,"Medium","Wales","N",0.592999999999999
"FFF","A-Level","30-40%","0-35",1,"Pass",7.97625194374562,4.11087386417331,"High","Wales","N",0.39
"EEE","A-Level","30-40%","0-35",0,NA,7.39326309476384,3.43398720448515,"High","Other","N",0.22
"DDD","HE Qual","40-50%","0-35",1,"Pass",6.55393340402581,4.11087386417331,"Medium","South Region","N",0.07
"FFF","Lower","20-30%","0-35",0,"Fail",6.40522845803084,4.79579054559674,"Medium","South West Region","N",0.17
"FFF","Lower","30-40%","0-35",1,"Fail",6.21260609575152,4.11087386417331,"Medium","Other","N",-1.12
"FFF","A-Level","30-40%","0-35",0,"Fail",6.40522845803084,4.79579054559674,"Medium","North Region","N",-0.78
"BBB","A-Level","20-30%","0-35",0,"Pass",5.64897423816121,4.11087386417331,"Medium","London Region","Y",0.09
"AAA","A-Level","60-70%","0-35",0,"Pass",7.3004728142678,4.11087386417331,"High","West Midlands Region","N",0.03
"DDD","Lower","30-40%","0-35",0,"Fail",2.63905732961526,4.11087386417331,"Low","North Western Region","N",-3.25
"FFF","A-Level","30-40%","0-35",1,"Fail",7.08673793451058,4.79579054559674,"High","South East Region","N",0.18
"BBB","Lower","30-40%","0-35",0,"Fail",6.361302477573,4.79579054559674,"Medium","Wales","N",-0.14
"BBB","Lower","20-30%","0-35",0,"Fail",1.6094379124341,4.11087386417331,"Low","South Region","N",-3.25
"FFF","Lower","50-60%","0-35",0,NA,8.60171814648593,4.51085950651685,"High","Other","Y",0.753
"FFF","Lower","40-50%","0-35",2,"Fail",6.74993119378857,4.79579054559674,"Medium","Yorkshire Region","N",-0.14
"BBB","A-Level","60-70%","0-35",1,"Pass",5.94017125272043,4.11087386417331,"Medium","South East Region","N",0.28
"BBB","Lower","30-40%","0-35",0,"Fail",6.65544035036765,4.11087386417331,"Medium","London Region","N",0.18
"DDD","Lower","60-70%","0-35",1,"Pass",7.26262860097424,5.08140436498446,"High","North Western Region","N",0.39
"BBB","A-Level","0-10%","0-35",0,"Pass",5.64897423816121,4.11087386417331,"Medium","London Region","N",-0.67
"CCC","A-Level","20-30%","0-35",0,"Pass",6.99484998583307,4.79579054559674,"High","Other","N",-0.01
"AAA","Lower","70-80%","0-35",0,"Pass",7.18538701558042,4.11087386417331,"High","South Region","N",0.17
"DDD","A-Level","80-90%","0-35",0,"Pass",8.01895468315572,4.11087386417331,"High","Wales","N",0.798
"FFF","A-Level","90-100%","0-35",0,"Pass",7.58731050602262,4.11087386417331,"High","South West Region","N",0.53
"AAA","HE Qual","90-100%","55<=",0,"Pass",8.20220843643645,4.11087386417331,"High","Other","N",0.26
"FFF","Lower","20-30%","0-35",1,"Fail",3.63758615972639,4.11087386417331,"Medium","North Region","N",-3.25
"BBB","A-Level","40-50%","0-35",2,"Fail",4.63472898822964,4.51085950651685,"Medium","West Midlands Region","N",0.775
"AAA","A-Level","70-80%","0-35",0,"Pass",7.16703787691222,4.79579054559674,"High","Wales","N",0.14
"FFF","A-Level","30-40%","0-35",0,NA,7.81681996576455,4.79579054559674,"High","North Region","N",1.02
"DDD","A-Level","70-80%","0-35",0,"Fail",6.72743172485086,4.11087386417331,"Medium","Other","N",-1.35
"FFF","A-Level","50-60%","0-35",0,"Pass",7.48717369421374,4.51085950651685,"High","Other","Y",-0.13
"BBB","Lower","80-90%","0-35",1,"Pass",5.95064255258773,4.79579054559674,"Medium","North Western Region","N",-0.6875
"DDD","A-Level","40-50%","0-35",1,"Pass",5.18178355029209,4.70953020131233,"Medium","South West Region","Y",-0.5295
"AAA","A-Level","20-30%","0-35",0,"Pass",7.45760928971561,4.11087386417331,"High","Other","N",0.13
"FFF","A-Level","40-50%","0-35",0,NA,8.5657928612523,4.51085950651685,"High","South Region","Y",0.8835
"AAA","Lower","60-70%","0-35",0,"Pass",7.0057890192535,4.11087386417331,"High","Other","N",0.38
"BBB","Lower","60-70%","0-35",0,"Pass",7.26262860097424,4.11087386417331,"High","South East Region","N",-0.19
"DDD","HE Qual","40-50%","0-35",0,"Fail",6.25958146406492,4.11087386417331,"Medium","Other","N",-0.81
"DDD","A-Level","0-10%","0-35",0,"Pass",7.62948991639399,5.19849703126583,"High","Other","N",-0.28
"BBB","HE Qual","40-50%","0-35",0,NA,6.75693238924755,4.79579054559674,"Medium","Wales","N",0.56
"DDD","A-Level","30-40%","0-35",0,"Pass",7.91971976092457,4.11087386417331,"High","West Midlands Region","N",-0.57
"GGG","A-Level","30-40%","0-35",0,"Pass",6.63987583382654,3.43398720448515,"Medium","London Region","N",0.18
"GGG","A-Level","30-40%","0-35",0,NA,6.74875954749168,3.43398720448515,"Medium","Yorkshire Region","N",0.83
"BBB","Lower","60-70%","0-35",1,"Pass",8.51398806046729,4.11087386417331,"High","Other","N",0.58
"EEE","Lower","90-100%","0-35",0,"Pass",8.50552538654856,4.79579054559674,"High","South East Region","N",0.72
"BBB","HE Qual","60-70%","0-35",0,"Pass",7.21964204013074,4.79579054559674,"High","South Region","N",0.54
"CCC","Lower","80-90%","0-35",0,"Pass",8.44311598801992,3.43398720448515,"High","Other","Y",-0.1
"DDD","Lower","50-60%","0-35",0,"Fail",6.10702288774225,5.19849703126583,"Medium","Wales","N",0.4475
"EEE","Lower","50-60%","0-35",0,"Pass",7.54433210805369,4.11087386417331,"High","West Midlands Region","N",0.41
"AAA","HE Qual","50-60%","0-35",0,"Pass",8.12829017160705,4.11087386417331,"High","North Western Region","N",0.225
"CCC","A-Level","30-40%","0-35",0,"Fail",6.94505106372583,3.71357206670431,"High","West Midlands Region","N",-0.37
"AAA","A-Level","30-40%","0-35",0,"Pass",6.52795791762255,4.11087386417331,"Medium","Other","N",0.06
"BBB","A-Level","20-30%","0-35",0,"Fail",6.26530121273771,4.11087386417331,"Medium","North Western Region","N",0.46
"GGG","Lower","30-40%","0-35",0,"Fail",5.61677109766657,3.43398720448515,"Medium","South Region","N",0.707
"DDD","Lower","70-80%","0-35",1,"Fail",6.54391184556479,4.11087386417331,"Medium","Other","N",0.22
"BBB","Lower","20-30%","0-35",1,"Fail",5.44673737166631,4.79579054559674,"Medium","London Region","N",-0.29
"EEE","Lower","80-90%","0-35",0,"Pass",8.16621626859214,4.11087386417331,"High","South East Region","N",0.02
"AAA","A-Level","80-90%","0-35",0,"Pass",6.81673588059497,4.11087386417331,"Medium","South East Region","N",-0.86
"FFF","HE Qual","90-100%","0-35",0,"Pass",7.09920174355309,5.01727983681492,"High","South Region","N",-0.0995
"CCC","Lower","30-40%","0-35",0,"Pass",8.11522197256233,3.43398720448515,"High","Other","N",0.39
"AAA","Lower","40-50%","0-35",0,"Pass",7.91498300584839,4.11087386417331,"High","Other","N",0.06
"BBB","A-Level","50-60%","0-35",0,"Pass",6.5694814204143,4.79579054559674,"Medium","North Western Region","N",-0.35
"DDD","HE Qual","70-80%","55<=",0,"Fail",7.11720550316434,4.79579054559674,"High","South East Region","N",-0.39
"BBB","Lower","80-90%","0-35",0,NA,6.64898455002478,4.11087386417331,"Medium","South East Region","Y",0.633
"DDD","A-Level","60-70%","0-35",1,"Pass",6.87316383421252,4.11087386417331,"High","Other","N",-0.773
"GGG","Lower","30-40%","0-35",0,"Pass",6.07073772800249,3.43398720448515,"Medium","Other","N",0.73
"FFF","Lower","30-40%","0-35",0,"Fail",4.70953020131233,4.11087386417331,"Medium","South Region","N",-3.25
"BBB","Lower","0-10%","0-35",2,"Pass",5.29831736654804,4.11087386417331,"Medium","West Midlands Region","Y",0.22
"CCC","HE Qual","20-30%","0-35",0,"Fail",7.12286665859908,4.11087386417331,"High","Other","N",0.545
"FFF","Lower","60-70%","0-35",0,"Fail",8.43315919580623,4.79579054559674,"High","Other","N",-0.29
"FFF","A-Level","0-10%","0-35",0,NA,8.63781663373998,4.11087386417331,"High","London Region","N",0.81
"DDD","Lower","30-40%","0-35",1,"Pass",8.1101268019411,4.79579054559674,"High","West Midlands Region","N",-1.0035
"GGG","Lower","30-40%","0-35",0,"Pass",6.71901315438526,3.43398720448515,"Medium","London Region","N",0.06
"AAA","A-Level","70-80%","0-35",1,"Fail",5.17614973257383,4.11087386417331,"Medium","Other","N",-0.15
"FFF","A-Level","0-10%","0-35",0,"Pass",7.48268182815465,5.01727983681492,"High","West Midlands Region","N",0.26
"CCC","A-Level","30-40%","0-35",0,"Fail",7.67322312112171,3.43398720448515,"High","Other","N",0.08
"FFF","A-Level","50-60%","0-35",0,"Pass",7.05789793741186,4.11087386417331,"High","Other","N",0.39
"DDD","HE Qual","30-40%","0-35",1,"Fail",4.969813299576,4.11087386417331,"Medium","North Western Region","N",0.58
"DDD","Lower","40-50%","0-35",0,"Fail",6.52502965784346,4.11087386417331,"Medium","South Region","N",-0.11
"EEE","A-Level","90-100%","0-35",0,"Pass",7.5234813125735,4.11087386417331,"High","South Region","N",0.28
"GGG","A-Level","80-90%","0-35",0,"Pass",5.87211778947542,3.43398720448515,"Medium","South Region","N",0.31
"DDD","Lower","20-30%","0-35",2,"Pass",7.01571242048723,4.11087386417331,"High","London Region","N",-0.15
"DDD","A-Level","30-40%","0-35",1,"Fail",7.12849594568004,4.11087386417331,"High","North Region","N",-0.28
"EEE","Lower","30-40%","0-35",0,"Pass",7.27170370688737,4.11087386417331,"High","Other","N",-0.2
"DDD","Lower","30-40%","0-35",1,"Pass",6.68210859744981,4.11087386417331,"Medium","Other","N",-1.0035
"EEE","A-Level","30-40%","0-35",0,"Pass",7.74716496652033,5.19849703126583,"High","South Region","N",0.48
"DDD","A-Level","20-30%","0-35",0,NA,7.47986413116503,4.11087386417331,"High","South Region","N",0.2785
"DDD","Lower","20-30%","0-35",0,"Pass",7.20934025660291,4.79579054559674,"High","London Region","Y",0.06
"FFF","A-Level","50-60%","0-35",0,"Pass",8.35608503102148,4.11087386417331,"High","London Region","Y",0.78
"FFF","HE Qual","70-80%","0-35",2,"Fail",8.91838250466161,5.6021188208797,"High","Other","N",-0.64
