"id_stud","code_mode.x","code_pres.x","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result","code_mode.y","code_pres.y","date_reg","date_unregistration","sum_click"
30096,"CCC","2014J","M","East Anglian Region","HE Qualification","90-100%","0-35",0,60,"N","Distinction","CCC","2014J","-22","?",714
30531,"FFF","2014B","M","East Anglian Region","Lower Than A Level","50-60%","0-35",1,180,"N","Fail","FFF","2014B","-137","?",1548
30549,"DDD","2013J","M","South East Region","A Level or Equivalent","0-10%","35-55",2,60,"N","Fail","DDD","2013J","-102","?",137
30850,"CCC","2014J","F","Scotland","HE Qualification","60-70%","35-55",0,120,"N","Distinction","CCC","2014J","-56","?",2258
31107,"GGG","2014B","M","South West Region","Lower Than A Level","40-50%","35-55",0,30,"N","Pass","GGG","2014B","-47","?",3873
31161,"CCC","2014J","M","South Region","Post Graduate Qualification","90-100%","55<=",0,105,"N","Distinction","CCC","2014J","-43","?",2932
31173,"DDD","2013J","M","North Western Region","A Level or Equivalent","40-50%","35-55",1,60,"N","Fail","DDD","2013J","-44","?",858
31205,"GGG","2014J","M","East Midlands Region","Lower Than A Level","20-30%","35-55",0,30,"Y","Fail","GGG","2014J","-31","?",381
31296,"FFF","2014J","M","East Midlands Region","Lower Than A Level","30-40%","0-35",1,60,"N","Fail","FFF","2014J","-20","?",1280
31600,"AAA","2014J","F","South West Region","A Level or Equivalent","40-50%","0-35",0,60,"N","Pass","AAA","2014J","-52","?",429
31604,"AAA","2013J","F","South East Region","A Level or Equivalent","50-60%","35-55",0,60,"N","Pass","AAA","2013J","-52","?",2158
31663,"BBB","2013B","M","North Region","A Level or Equivalent","30-40%","35-55",0,60,"N","Pass","BBB","2013B","-60","?",5906
31849,"BBB","2013J","F","South West Region","Lower Than A Level","60-70%","35-55",0,120,"N","Pass","BBB","2013J","-128","?",1179
32221,"FFF","2013J","M","South Region","A Level or Equivalent","60-70%","0-35",0,60,"N","Fail","FFF","2013J","-32","?",1133
32239,"GGG","2013J","F","London Region","A Level or Equivalent","30-40%","0-35",0,30,"N","Pass","GGG","2013J","-78","?",620
32885,"AAA","2013J","F","West Midlands Region","Lower Than A Level","50-60%","0-35",0,60,"N","Pass","AAA","2013J","-176","?",1034
32930,"BBB","2014J","F","South Region","A Level or Equivalent","40-50%","35-55",0,60,"N","Pass","BBB","2014J","-35","?",438
33387,"DDD","2014J","M","Scotland","HE Qualification","20-Oct","0-35",2,90,"N","Fail","DDD","2014J","-129","?",248
33387,"DDD","2014J","M","Scotland","HE Qualification","20-Oct","0-35",2,90,"N","Fail","DDD","2013J","-43","179",248
33681,"DDD","2014J","M","South East Region","A Level or Equivalent","50-60%","35-55",3,60,"Y","Fail","DDD","2013J","-151","208",464
33681,"DDD","2014J","M","South East Region","A Level or Equivalent","50-60%","35-55",3,60,"Y","Fail","DDD","2014J","-29","?",464
33796,"DDD","2014J","M","East Anglian Region","Lower Than A Level","80-90%","35-55",2,60,"N","Pass","DDD","2014J","-51","?",351
33915,"FFF","2013B","F","South East Region","A Level or Equivalent","30-40%","0-35",0,60,"N","Distinction","FFF","2013B","-64","?",4121
33930,"DDD","2013J","F","South West Region","A Level or Equivalent","20-30%","0-35",0,90,"N","Pass","DDD","2013J","-143","?",544
34087,"DDD","2014J","M","South East Region","A Level or Equivalent","60-70%","35-55",1,60,"Y","Fail","DDD","2014J","-107","?",425
34087,"DDD","2014J","M","South East Region","A Level or Equivalent","60-70%","35-55",1,60,"Y","Fail","DDD","2013J","-75","169",425
34229,"BBB","2013B","F","Ireland","A Level or Equivalent","0-10%","35-55",2,120,"N","Pass","BBB","2013B","-58","?",706
34353,"BBB","2013B","M","Scotland","A Level or Equivalent","70-80%","35-55",0,120,"Y","Fail","BBB","2013B","-16","?",391
34653,"DDD","2013J","M","East Midlands Region","Lower Than A Level","30-40%","0-35",0,60,"N","Fail","DDD","2013J","-149","?",213
34863,"BBB","2013B","F","London Region","A Level or Equivalent","50-60%","0-35",0,60,"N","Pass","BBB","2013B","-65","?",198
35001,"GGG","2013J","F","East Midlands Region","Lower Than A Level","70-80%","35-55",0,30,"N","Fail","GGG","2013J","-27","?",77
35340,"EEE","2014B","M","South Region","A Level or Equivalent","50-60%","0-35",0,60,"N","Pass","EEE","2014B","-51","?",1812
35355,"EEE","2013J","M","Wales","Lower Than A Level","0-10%","35-55",0,30,"N","Pass","CCC","2014J","-25","199",3358
35355,"EEE","2013J","M","Wales","Lower Than A Level","0-10%","35-55",0,30,"N","Pass","EEE","2013J","-30","?",3358
35508,"CCC","2014J","M","South West Region","A Level or Equivalent","90-100%","0-35",0,30,"N","Pass","CCC","2014J","-44","?",3412
35508,"EEE","2014B","M","South West Region","A Level or Equivalent","90-100%","0-35",0,30,"N","Distinction","EEE","2014B","-50","?",3412
35508,"CCC","2014J","M","South West Region","A Level or Equivalent","90-100%","0-35",0,30,"N","Pass","EEE","2014B","-50","?",3412
35508,"EEE","2014B","M","South West Region","A Level or Equivalent","90-100%","0-35",0,30,"N","Distinction","CCC","2014J","-44","?",3412
35544,"FFF","2013B","M","Wales","A Level or Equivalent","80-90%","35-55",0,60,"N","Pass","FFF","2013B","-22","?",2107
35796,"FFF","2014J","M","Wales","A Level or Equivalent","20-30%","0-35",0,60,"N","Fail","FFF","2014J","-66","?",602
35812,"BBB","2013B","F","East Anglian Region","Lower Than A Level","30-40%","0-35",0,60,"N","Fail","BBB","2013B","-53","?",19
35859,"DDD","2013J","M","North Western Region","A Level or Equivalent","90-100%","0-35",0,60,"N","Fail","DDD","2013J","-151","?",NA
35860,"FFF","2013B","M","South West Region","A Level or Equivalent","20-Oct","0-35",0,60,"N","Pass","FFF","2013B","-60","?",2215
36347,"FFF","2014B","M","North Western Region","Lower Than A Level","20-Oct","0-35",0,120,"N","Pass","FFF","2014B","-25","?",2161
37298,"FFF","2013B","M","Ireland","HE Qualification","?","0-35",0,120,"N","Pass","FFF","2013B","-31","?",2097
37622,"BBB","2013J","F","Scotland","HE Qualification","80-90%","0-35",1,120,"N","Pass","BBB","2013J","-46","?",470
37652,"CCC","2014J","F","London Region","HE Qualification","20-30%","35-55",0,50,"N","Distinction","CCC","2014J","-11","?",885
38053,"AAA","2013J","M","Wales","A Level or Equivalent","80-90%","35-55",0,60,"N","Pass","AAA","2013J","-110","?",2445
38234,"BBB","2013J","F","East Midlands Region","A Level or Equivalent","60-70%","0-35",0,60,"N","Fail","BBB","2013J","-117","?",94
38941,"BBB","2014B","F","East Midlands Region","A Level or Equivalent","20-Oct","0-35",0,60,"N","Fail","BBB","2014B","-24","?",NA
39208,"BBB","2014J","F","Wales","A Level or Equivalent","90-100%","35-55",0,120,"N","Pass","BBB","2014J","-72","?",2067
39208,"BBB","2014J","F","Wales","A Level or Equivalent","90-100%","35-55",0,120,"N","Pass","DDD","2014J","-161","-82",2067
39411,"DDD","2013J","F","West Midlands Region","Lower Than A Level","0-10%","0-35",0,60,"N","Fail","DDD","2013J","-36","?",164
39655,"BBB","2013B","F","Scotland","Lower Than A Level","50-60%","0-35",0,120,"N","Distinction","BBB","2013B","-22","?",432
39660,"DDD","2014B","F","North Western Region","Lower Than A Level","0-10%","0-35",0,120,"N","Fail","DDD","2014B","-40","?",630
39882,"FFF","2014B","F","Scotland","A Level or Equivalent","80-90%","0-35",1,120,"N","Pass","FFF","2013J","-32","-31",1761
39882,"FFF","2014B","F","Scotland","A Level or Equivalent","80-90%","0-35",1,120,"N","Pass","FFF","2014B","-26","?",1761
40184,"DDD","2013J","M","Wales","HE Qualification","30-40%","55<=",0,60,"N","Distinction","DDD","2013J","-106","?",1876
40419,"DDD","2013J","M","East Midlands Region","Lower Than A Level","20-30%","35-55",1,60,"N","Pass","DDD","2013J","-57","?",704
40419,"DDD","2013J","M","East Midlands Region","Lower Than A Level","20-30%","35-55",1,60,"N","Pass","DDD","2013B","-46","171",704
40563,"DDD","2013J","F","South East Region","A Level or Equivalent","0-10%","0-35",0,60,"N","Pass","DDD","2013J","-43","?",584
40604,"CCC","2014B","M","Ireland","A Level or Equivalent","?","35-55",0,30,"N","Pass","CCC","2014B","-17","?",465
40878,"FFF","2014J","M","North Western Region","Lower Than A Level","0-10%","0-35",0,120,"N","Distinction","FFF","2014J","-86","?",2455
41060,"DDD","2013B","M","Ireland","HE Qualification","70-80%","0-35",0,60,"N","Fail","DDD","2013B","-24","?",411
41414,"GGG","2014B","F","West Midlands Region","Lower Than A Level","0-10%","0-35",0,30,"Y","Pass","GGG","2014B","-12","?",965
41489,"FFF","2014B","F","East Anglian Region","Lower Than A Level","20-30%","0-35",0,60,"N","Fail","FFF","2014B","-75","?",53
41547,"BBB","2014J","F","Yorkshire Region","A Level or Equivalent","40-50%","0-35",0,60,"N","Pass","BBB","2014J","-87","?",1007
42552,"FFF","2014J","F","East Anglian Region","A Level or Equivalent","80-90%","0-35",0,90,"N","Pass","FFF","2014J","-150","?",5079
42616,"FFF","2013J","F","Scotland","Lower Than A Level","80-90%","35-55",0,60,"N","Pass","FFF","2013J","-33","?",4093
42638,"CCC","2014B","M","Scotland","HE Qualification","90-100%","35-55",0,60,"N","Pass","CCC","2014B","-52","?",11845
42638,"EEE","2013J","M","Scotland","HE Qualification","90-100%","35-55",0,60,"N","Pass","CCC","2014B","-52","?",11845
42638,"EEE","2013J","M","Scotland","HE Qualification","90-100%","35-55",0,60,"N","Pass","EEE","2013J","-39","?",11845
42638,"CCC","2014B","M","Scotland","HE Qualification","90-100%","35-55",0,60,"N","Pass","EEE","2013J","-39","?",11845
42668,"FFF","2013B","M","London Region","Lower Than A Level","20-Oct","35-55",1,120,"N","Pass","FFF","2013B","-122","?",2839
42746,"CCC","2014J","F","South Region","HE Qualification","50-60%","35-55",0,60,"N","Distinction","FFF","2014B","-135","?",10673
42746,"CCC","2014J","F","South Region","HE Qualification","50-60%","35-55",0,60,"N","Distinction","CCC","2014J","-108","?",10673
42746,"FFF","2014B","F","South Region","HE Qualification","50-60%","35-55",0,60,"N","Distinction","FFF","2014B","-135","?",10673
42746,"FFF","2014B","F","South Region","HE Qualification","50-60%","35-55",0,60,"N","Distinction","CCC","2014J","-108","?",10673
42818,"DDD","2013J","F","East Anglian Region","Lower Than A Level","40-50%","0-35",0,180,"Y","Fail","DDD","2013J","-124","?",200
43273,"FFF","2013B","M","East Midlands Region","HE Qualification","60-70%","35-55",0,90,"N","Pass","FFF","2013B","-108","?",1862
43430,"FFF","2013B","M","South West Region","A Level or Equivalent","50-60%","35-55",0,60,"N","Pass","FFF","2013B","-53","?",5693
43564,"EEE","2013J","M","Scotland","HE Qualification","80-90%","35-55",0,60,"N","Pass","EEE","2013J","-18","?",2334
43958,"FFF","2014J","M","Wales","A Level or Equivalent","90-100%","35-55",1,60,"N","Fail","FFF","2013J","-167","149",3318
43958,"FFF","2014J","M","Wales","A Level or Equivalent","90-100%","35-55",1,60,"N","Fail","FFF","2014J","-115","?",3318
45423,"FFF","2014J","M","South West Region","Lower Than A Level","70-80%","35-55",0,60,"N","Fail","FFF","2014J","-31","?",4383
45462,"AAA","2013J","M","Scotland","HE Qualification","30-40%","0-35",0,60,"N","Pass","AAA","2013J","-67","?",1492
45642,"AAA","2013J","F","North Western Region","A Level or Equivalent","90-100%","0-35",0,120,"N","Pass","AAA","2013J","-29","?",1428
45664,"DDD","2013B","M","Yorkshire Region","HE Qualification","60-70%","0-35",1,60,"N","Pass","DDD","2013B","-31","?",1445
45664,"DDD","2013B","M","Yorkshire Region","HE Qualification","60-70%","0-35",1,60,"N","Pass","CCC","2014B","-173","137",1445
46148,"FFF","2014B","M","North Western Region","A Level or Equivalent","20-Oct","35-55",0,60,"N","Pass","FFF","2014B","-23","?",3724
46605,"CCC","2014B","M","East Anglian Region","HE Qualification","60-70%","35-55",0,60,"N","Distinction","CCC","2014B","-54","?",3427
46705,"CCC","2014J","M","Ireland","HE Qualification","?","35-55",0,60,"N","Fail","CCC","2014J","-61","?",1149
46753,"DDD","2014B","F","East Anglian Region","A Level or Equivalent","60-70%","35-55",0,60,"N","Pass","DDD","2014B","-93","?",1779
46844,"AAA","2014J","M","North Region","HE Qualification","30-40%","35-55",0,60,"N","Pass","AAA","2014J","-74","?",340
47061,"EEE","2014J","M","East Midlands Region","A Level or Equivalent","90-100%","0-35",0,30,"N","Pass","EEE","2014J","-16","?",347
47861,"FFF","2014J","M","South East Region","A Level or Equivalent","50-60%","0-35",0,60,"Y","Pass","FFF","2014J","-103","?",8757
47891,"BBB","2014J","F","Wales","Lower Than A Level","20-Oct","0-35",4,60,"N","Fail","BBB","2014J","-73","?",118
47924,"FFF","2013J","M","West Midlands Region","Lower Than A Level","0-10%","35-55",0,60,"N","Fail","FFF","2013J","-142","?",34
48040,"BBB","2013J","F","East Midlands Region","A Level or Equivalent","20-30%","35-55",0,120,"N","Pass","BBB","2013J","-92","?",1829
48152,"DDD","2013J","F","East Anglian Region","A Level or Equivalent","70-80%","0-35",0,120,"N","Pass","DDD","2013J","-139","?",528
48503,"BBB","2013J","F","West Midlands Region","Lower Than A Level","20-Oct","0-35",0,60,"N","Pass","BBB","2013J","-146","?",434
48635,"FFF","2014B","M","South Region","HE Qualification","90-100%","0-35",0,60,"N","Pass","FFF","2014B","-19","?",4998
48635,"FFF","2014B","M","South Region","HE Qualification","90-100%","0-35",0,60,"N","Pass","CCC","2014J","-8","12",4998
49119,"CCC","2014B","M","Ireland","HE Qualification","?","0-35",0,90,"N","Distinction","CCC","2014B","-74","?",2268
49119,"CCC","2014B","M","Ireland","HE Qualification","?","0-35",0,90,"N","Distinction","DDD","2014B","-75","66",2268
49123,"GGG","2014B","M","Yorkshire Region","Lower Than A Level","50-60%","0-35",0,30,"N","Pass","GGG","2014B","-74","?",1362
50069,"BBB","2014B","F","Scotland","A Level or Equivalent","30-40%","0-35",0,90,"N","Fail","BBB","2014B","-134","?",531
50263,"FFF","2013B","M","West Midlands Region","HE Qualification","80-90%","35-55",0,60,"N","Pass","CCC","2014B","-113","45",6288
50263,"FFF","2013B","M","West Midlands Region","HE Qualification","80-90%","35-55",0,60,"N","Pass","FFF","2013B","-25","?",6288
50476,"DDD","2014B","F","South West Region","HE Qualification","0-10%","0-35",0,60,"N","Distinction","DDD","2014B","-23","?",568
50487,"FFF","2013J","F","East Anglian Region","Lower Than A Level","90-100%","0-35",1,60,"N","Pass","FFF","2013J","-64","?",5021
50610,"DDD","2013J","F","East Anglian Region","A Level or Equivalent","50-60%","0-35",1,70,"Y","Fail","DDD","2013J","-151","?",13
50993,"BBB","2013B","F","Scotland","Lower Than A Level","0-10%","0-35",0,60,"Y","Fail","BBB","2013B","-53","?",176
51030,"DDD","2014B","M","West Midlands Region","A Level or Equivalent","60-70%","0-35",0,60,"N","Pass","DDD","2014B","-23","?",804
51033,"DDD","2014J","F","South Region","A Level or Equivalent","80-90%","0-35",0,60,"N","Pass","DDD","2014J","-154","?",913
51153,"DDD","2014J","F","East Midlands Region","HE Qualification","30-40%","35-55",0,60,"N","Pass","DDD","2014J","-149","?",1179
51163,"DDD","2013J","M","London Region","HE Qualification","20-30%","35-55",0,60,"N","Pass","DDD","2013J","-179","?",1167
51485,"FFF","2013J","M","West Midlands Region","Lower Than A Level","20-Oct","0-35",0,120,"N","Distinction","FFF","2013J","-18","?",2750
51576,"FFF","2013J","F","London Region","Lower Than A Level","20-Oct","0-35",0,90,"N","Distinction","CCC","2014J","-85","73",6101
51576,"FFF","2013J","F","London Region","Lower Than A Level","20-Oct","0-35",0,90,"N","Distinction","CCC","2014B","-100","66",6101
51576,"FFF","2013J","F","London Region","Lower Than A Level","20-Oct","0-35",0,90,"N","Distinction","FFF","2013J","-129","?",6101
51955,"DDD","2014J","M","Scotland","A Level or Equivalent","80-90%","0-35",0,60,"Y","Fail","DDD","2014J","-51","?",405
52014,"DDD","2013B","F","Wales","Lower Than A Level","0-10%","35-55",2,120,"N","Fail","DDD","2013B","4","?",349
52130,"AAA","2013J","F","East Anglian Region","A Level or Equivalent","70-80%","0-35",0,90,"N","Pass","AAA","2013J","-33","?",1894
52275,"FFF","2014J","M","London Region","No Formal quals","0-10%","0-35",0,90,"N","Fail","FFF","2014J","-136","?",91
52426,"BBB","2014B","F","Scotland","Lower Than A Level","70-80%","35-55",1,60,"N","Fail","BBB","2014B","-32","?",68
52702,"GGG","2014J","F","Scotland","Lower Than A Level","20-30%","35-55",0,30,"N","Pass","GGG","2014J","-12","?",323
52765,"AAA","2014J","F","Yorkshire Region","Lower Than A Level","0-10%","35-55",0,120,"N","Pass","AAA","2014J","-22","?",4938
52797,"BBB","2013J","F","South West Region","Lower Than A Level","30-40%","35-55",1,60,"N","Pass","BBB","2013J","-54","?",1117
52899,"BBB","2013J","F","East Midlands Region","Lower Than A Level","50-60%","35-55",1,90,"N","Pass","BBB","2013B","-117","86",2468
52899,"BBB","2013J","F","East Midlands Region","Lower Than A Level","50-60%","35-55",1,90,"N","Pass","BBB","2013J","-124","?",2468
53025,"AAA","2013J","M","North Region","Post Graduate Qualification","?","55<=",0,60,"N","Pass","AAA","2013J","-179","?",3158
53136,"FFF","2014B","F","London Region","A Level or Equivalent","30-40%","0-35",1,120,"N","Pass","FFF","2014B","-1","?",3493
53166,"FFF","2013J","F","North Region","Lower Than A Level","40-50%","0-35",0,60,"N","Pass","FFF","2013J","-75","?",2861
53197,"FFF","2013B","F","North Western Region","No Formal quals","0-10%","0-35",0,60,"N","Fail","FFF","2013B","-81","?",60
53300,"CCC","2014J","M","West Midlands Region","A Level or Equivalent","90-100%","0-35",0,270,"N","Distinction","CCC","2014J","-24","?",1957
53488,"DDD","2013B","F","East Anglian Region","HE Qualification","90-100%","0-35",0,60,"N","Pass","DDD","2013B","-25","?",1426
53626,"FFF","2013J","M","Scotland","HE Qualification","30-40%","35-55",0,60,"Y","Fail","FFF","2013J","-26","?",39
53632,"DDD","2014J","M","Wales","Lower Than A Level","90-100%","0-35",2,60,"N","Fail","DDD","2014J","-32","?",583
53632,"DDD","2014J","M","Wales","Lower Than A Level","90-100%","0-35",2,60,"N","Fail","DDD","2014B","-15","165",583
53709,"FFF","2014B","M","Wales","A Level or Equivalent","30-40%","0-35",1,60,"N","Pass","FFF","2013B","-67","159",2910
53709,"FFF","2014B","M","Wales","A Level or Equivalent","30-40%","0-35",1,60,"N","Pass","FFF","2014B","-22","?",2910
54062,"EEE","2013J","M","East Anglian Region","A Level or Equivalent","30-40%","0-35",0,30,"N","Distinction","CCC","2014J","-67","110",1624
54062,"EEE","2013J","M","East Anglian Region","A Level or Equivalent","30-40%","0-35",0,30,"N","Distinction","EEE","2013J","-51","?",1624
54810,"DDD","2014J","M","South Region","HE Qualification","40-50%","0-35",1,60,"N","Pass","DDD","2014B","-54","82",701
54810,"DDD","2014J","M","South Region","HE Qualification","40-50%","0-35",1,60,"N","Pass","DDD","2014J","-96","?",701
54867,"FFF","2014B","F","South West Region","Lower Than A Level","20-30%","0-35",0,120,"N","Fail","FFF","2014B","-82","?",604
54882,"FFF","2013J","M","Scotland","Lower Than A Level","30-40%","0-35",1,60,"N","Fail","FFF","2013J","-130","?",498
55013,"FFF","2013J","M","North Region","A Level or Equivalent","20-Oct","0-35",0,120,"N","Fail","FFF","2013J","-54","?",604
55026,"BBB","2013J","F","London Region","A Level or Equivalent","20-30%","35-55",0,60,"Y","Pass","BBB","2013J","-88","?",283
55104,"AAA","2014J","F","West Midlands Region","A Level or Equivalent","60-70%","0-35",0,60,"N","Pass","AAA","2014J","-87","?",1480
55242,"DDD","2013B","F","North Western Region","Lower Than A Level","30-40%","0-35",0,60,"N","Fail","DDD","2013B","-52","?",13
55450,"FFF","2013B","M","South East Region","A Level or Equivalent","30-40%","35-55",1,120,"N","Fail","FFF","2013B","-66","?",1195
55968,"BBB","2014B","F","Wales","Lower Than A Level","20-Oct","0-35",0,120,"N","Fail","BBB","2014B","-29","?",578
56340,"BBB","2013J","F","South Region","Lower Than A Level","20-30%","0-35",0,60,"N","Fail","BBB","2013J","-120","?",4
56637,"FFF","2014J","M","East Midlands Region","Lower Than A Level","50-60%","0-35",0,90,"Y","Distinction","FFF","2014J","-99","?",5440
56667,"FFF","2014J","M","Yorkshire Region","Lower Than A Level","40-50%","35-55",2,120,"N","Fail","FFF","2014J","-46","?",853
56789,"BBB","2013J","F","South East Region","A Level or Equivalent","60-70%","35-55",1,60,"N","Pass","BBB","2013J","-30","?",379
57079,"BBB","2013J","F","London Region","Lower Than A Level","30-40%","35-55",0,60,"N","Fail","BBB","2013J","-129","?",776
57227,"DDD","2013J","F","North Western Region","Lower Than A Level","60-70%","0-35",1,160,"N","Pass","DDD","2013J","-46","?",1425
57285,"BBB","2014J","F","London Region","A Level or Equivalent","0-10%","0-35",0,60,"N","Pass","BBB","2014J","-29","?",283
